# File version 1.0
# Fields: VERSION#, TIMEZONE_NAME, FROM_YEAR, TO_YEAR
# Note: A NULL/blank for TO_YEAR means max year representable/allowed by db.
32, Africa/Bissau, 1912,
32, Africa/Windhoek, 1994,
32, Africa/Sao_Tome, 1800,
32, America/Jamaica, 1800, 1912
32, America/Grand_Turk, 1890, 1912
32, America/Sao_Paulo, 2018,
32, America/Cuiaba, 2018,
32, America/Montevideo, 1800, 1923
32, America/Montevideo, 1936, 1936
32, America/Montevideo, 1939, 1939
32, America/Montevideo, 1942, 1959
32, America/Montevideo, 1966, 1990
32, America/Campo_Grande, 2018,
32, Antarctica/Casey, 2018,
32, Asia/Macao, 1911, 1911
32, Asia/Tokyo, 1948,
32, Asia/Pyongyang, 2018,
32, Asia/Gaza, 2018, 2019
32, Asia/Gaza, 2024, 2025
32, Asia/Gaza, 2029, 2031
32, Asia/Gaza, 2035, 2036
32, Asia/Gaza, 2040,
32, Asia/Hebron, 2018, 2019
32, Asia/Hebron, 2024, 2025
32, Asia/Hebron, 2029, 2031
32, Asia/Hebron, 2035, 2036
32, Asia/Hebron, 2040,
32, Atlantic/Azores, 1912, 1912
32, Atlantic/Madeira, 1912, 1912
32, Atlantic/Cape_Verde, 1907,
32, Europe/Dublin, 1971,
32, Europe/Prague, 1944, 1947
32, Europe/Lisbon, 1912, 1912
32, Pacific/Enderbury, 1994,
32, Pacific/Kiritimati, 1994,
32, Jamaica, 1800, 1912
32, Brazil/East, 2018,
32, Asia/Macau, 1911, 1911
32, Japan, 1948,
32, Eire, 1971,
32, Europe/Bratislava, 1944, 1947
32, Portugal, 1912, 1912
31, Africa/Windhoek, 1994, 1994
31, Africa/Windhoek, 2017,
31, Africa/Khartoum, 2017,
31, America/Juneau, 1867, 1867
31, America/Yakutat, 1867, 1867
31, America/Anchorage, 1867, 1867
31, America/Nome, 1800, 1867
31, America/Adak, 1800, 1867
31, America/Detroit, 1967, 1973
31, America/Grand_Turk, 2018,
31, Asia/Rangoon, 1800,
31, Asia/Calcutta, 1854,
31, America/Sitka, 1867, 1867
31, America/Metlakatla, 1867, 1867
31, Africa/Juba, 1800, 1930
31, Asia/Yangon, 1800,
31, Asia/Famagusta, 2017,
31, Europe/Dublin, 1946, 1947
31, Pacific/Fiji, 2018, 2018
31, Pacific/Fiji, 2024, 2024
31, Pacific/Fiji, 2029, 2029
31, Pacific/Fiji, 2035, 2035
31, Pacific/Pago_Pago, 1879,
31, Pacific/Apia, 1879, 1892
31, Pacific/Tongatapu, 2017,
31, Pacific/Midway, 1879,
31, US/Alaska, 1867, 1867
31, America/Atka, 1800, 1867
31, US/Michigan, 1967, 1973
31, Asia/Kolkata, 1854,
31, Eire, 1946, 1947
31, US/Samoa, 1879,
31, US/Aleutian, 1800, 1867
31, Pacific/Samoa, 1879,
30, Africa/Monrovia, 1972,
30, Africa/Ceuta, 1901, 1928
30, America/Port-au-Prince, 2017,
30, America/Guayaquil, 1992,
30, America/Guyana, 1966,
30, America/Paramaribo, 1975,
30, Antarctica/Palmer, 2016,
30, Asia/Dacca, 1971,
30, Asia/Macao, 1999,
30, Asia/Dili, 1945,
30, Asia/Tokyo, 1895, 1948
30, Asia/Seoul, 1937, 1945
30, Asia/Pyongyang, 1937,
30, Asia/Kuching, 1981,
30, Asia/Hovd, 2017,
30, Asia/Ulaanbaatar, 2017,
30, Asia/Singapore, 1965,
30, Asia/Oral, 1924, 1930
30, Asia/Choibalsan, 2017,
30, Asia/Atyrau, 1924, 1930
30, Europe/Madrid, 1901, 1975
30, Europe/Madrid, 1978, 1978
30, Pacific/Galapagos, 1992,
30, Pacific/Pago_Pago, 1967,
30, Pacific/Midway, 1967,
30, Asia/Dhaka, 1971,
30, Asia/Macau, 1999,
30, Japan, 1895, 1948
30, ROK, 1937, 1945
30, Asia/Ulan_Bator, 2017,
30, Singapore, 1965,
30, US/Samoa, 1967,
30, Pacific/Samoa, 1967,
30, Africa/Monrovia, 1972,
30, Africa/Ceuta, 1901, 1928
30, America/Port-au-Prince, 2017,
30, America/Guayaquil, 1992,
30, America/Guyana, 1966,
30, America/Paramaribo, 1975,
30, Antarctica/Palmer, 2016,
30, Asia/Dacca, 1971,
30, Asia/Macao, 1999,
30, Asia/Dili, 1945,
30, Asia/Tokyo, 1895, 1948
30, Asia/Seoul, 1937, 1945
30, Asia/Pyongyang, 1937,
30, Asia/Kuching, 1981,
30, Asia/Hovd, 2017,
30, Asia/Ulaanbaatar, 2017,
